cueX,cueZ,aimDz,speed,a,b,trials,legal,gold
0.15000,0.50000,-0.00857,11.000,0.00000,-0.00857,50,41,1
0.15000,0.50000,-0.00857,11.000,0.00000,0.00000,50,40,0
0.15000,0.50000,-0.00857,11.000,0.00000,0.00857,50,41,1
0.15000,0.50000,-0.00857,11.000,0.00857,-0.00857,50,31,2
0.15000,0.50000,-0.00857,11.000,0.00857,0.00000,50,27,1
0.15000,0.50000,-0.00857,11.000,0.00857,0.00857,50,32,0
0.15000,0.50000,-0.00857,14.000,-0.00857,-0.00857,50,39,1
0.15000,0.50000,-0.00857,14.000,-0.00857,0.00000,50,32,1
0.15000,0.50000,-0.00857,14.000,-0.00857,0.00857,50,37,0
0.15000,0.50000,-0.00857,14.000,0.00000,-0.00857,50,35,1
0.15000,0.50000,-0.00857,14.000,0.00000,0.00000,50,27,1
0.15000,0.50000,-0.00857,14.000,0.00000,0.00857,50,34,1
0.15000,0.50000,-0.00857,14.000,0.00857,-0.00857,50,30,0
0.15000,0.50000,-0.00857,14.000,0.00857,0.00000,50,26,0
0.15000,0.50000,-0.00857,14.000,0.00857,0.00857,50,25,0
0.15000,0.50000,0.00000,8.000,-0.00857,-0.00857,50,44,0
0.15000,0.50000,0.00000,8.000,-0.00857,0.00000,50,41,1
0.15000,0.50000,0.00000,8.000,-0.00857,0.00857,50,37,0
0.15000,0.50000,0.00000,8.000,0.00000,-0.00857,50,43,0
0.15000,0.50000,0.00000,8.000,0.00000,0.00000,50,48,1
0.15000,0.50000,0.00000,8.000,0.00000,0.00857,50,49,0
0.15000,0.50000,0.00000,8.000,0.00857,-0.00857,50,39,0
0.15000,0.50000,0.00000,8.000,0.00857,0.00000,50,39,0
0.15000,0.50000,0.00000,8.000,0.00857,0.00857,50,32,0
0.15000,0.50000,0.00000,11.000,-0.00857,-0.00857,50,37,1
0.15000,0.50000,0.00000,11.000,-0.00857,0.00000,50,30,0
0.15000,0.50000,0.00000,11.000,-0.00857,0.00857,50,32,0
0.15000,0.50000,0.00000,11.000,0.00000,-0.00857,50,42,2
0.15000,0.50000,0.00000,11.000,0.00000,0.00000,50,39,0
0.15000,0.50000,0.00000,11.000,0.00000,0.00857,50,44,1
0.15000,0.50000,0.00000,11.000,0.00857,-0.00857,50,33,1
0.15000,0.50000,0.00000,11.000,0.00857,0.00000,50,33,0
0.15000,0.50000,0.00000,11.000,0.00857,0.00857,50,36,0
